state,year,quater,transaction_count,transaction_amount
puducherry,2018,4,307964,625691665.4234949
tamil nadu,2018,4,22457444,43302073975.890976
uttar pradesh,2018,4,36100767,55096743575.91497
madhya pradesh,2018,4,21397555,33905608072.964783
andhra pradesh,2018,4,30759548,51473779406.840416
tripura,2018,4,448059,624885599.4644469
lakshadweep,2018,4,1642,4463213.698222831
manipur,2018,4,236110,605683559.3060112
maharashtra,2018,4,46090223,79518937047.82959
dadra & nagar haveli & daman & diu,2018,4,404082,658750616.8008878
meghalaya,2018,4,161132,337585679.00467324
andaman & nicobar islands,2018,4,23758,90548336.07445517
haryana,2018,4,12950183,25390876016.455025
rajasthan,2018,4,20959723,37909087083.33885
ladakh,2018,4,35211,135522842.49263746
punjab,2018,4,4887137,10781982573.649624
assam,2018,4,3734172,5888022859.01307
jharkhand,2018,4,6284043,10241916641.12223
odisha,2018,4,21142798,23429869571.55922
bihar,2018,4,15732401,28397997168.57623
kerala,2018,4,4310654,7747361236.812299
karnataka,2018,4,44812071,73008386576.05942
chandigarh,2018,4,905116,2032591591.779975
telangana,2018,4,28921154,49509088448.04927
himachal pradesh,2018,4,1307883,2621298968.1392584
west bengal,2018,4,36513548,40489619211.70402
gujarat,2018,4,14733303,24830987102.78186
sikkim,2018,4,154533,383141358.07825375
nagaland,2018,4,139333,388013467.5456239
mizoram,2018,4,55242,190426852.52952954
chhattisgarh,2018,4,5365844,9416412664.971258
jammu & kashmir,2018,4,2721310,5664720265.697432
goa,2018,4,514755,1153005078.9224057
arunachal pradesh,2018,4,176429,504040029.0917605
delhi,2018,4,29187719,39722857618.706436
uttarakhand,2018,4,3178761,5654272137.963844
puducherry,2018,2,130261,285801119.5324367
tamil nadu,2018,2,9992128,20125844276.267662
uttar pradesh,2018,2,17710943,25720201695.701435
madhya pradesh,2018,2,10561412,15924081066.680986
andhra pradesh,2018,2,12353918,22883914272.633617
tripura,2018,2,214559,236891718.7161358
lakshadweep,2018,2,2132,6187809.539400538
manipur,2018,2,151721,253209721.319494
maharashtra,2018,2,22285740,36357057241.12254
dadra & nagar haveli & daman & diu,2018,2,202626,302070771.6561514
meghalaya,2018,2,67857,117004667.8418316
andaman & nicobar islands,2018,2,11340,28338535.507953547
haryana,2018,2,6150931,11320414442.116663
rajasthan,2018,2,9973697,15559086175.75962
ladakh,2018,2,15010,47334902.5377415
punjab,2018,2,2581163,4684672212.007125
assam,2018,2,1663873,2350585135.537811
jharkhand,2018,2,3152080,4721575659.062912
odisha,2018,2,8158144,8488310339.620239
bihar,2018,2,8632378,13506131109.672922
kerala,2018,2,2308165,3886923343.44263
karnataka,2018,2,17116447,33515580081.29709
chandigarh,2018,2,479084,961223261.74473
telangana,2018,2,10764670,23017201517.652737
himachal pradesh,2018,2,687695,1183169301.3511178
west bengal,2018,2,18082446,18629183470.204285
gujarat,2018,2,7745733,12162684771.641388
sikkim,2018,2,74578,143693085.52979562
nagaland,2018,2,65599,153325577.88030174
mizoram,2018,2,27051,83508405.55773437
chhattisgarh,2018,2,2816156,4264170443.1617327
jammu & kashmir,2018,2,1796326,2651206236.5028934
goa,2018,2,229575,478603825.35861486
arunachal pradesh,2018,2,82157,198970192.34204656
delhi,2018,2,9373723,17446299902.205147
uttarakhand,2018,2,1704122,2679755378.5510764
puducherry,2018,1,104212,165825971.36983618
tamil nadu,2018,1,6726622,11261557697.516891
uttar pradesh,2018,1,12537805,13939970923.223106
madhya pradesh,2018,1,8025395,8681603403.446348
andhra pradesh,2018,1,9039585,11996276391.823706
tripura,2018,1,148157,137978914.53062224
lakshadweep,2018,1,778,1928611.1808777403
manipur,2018,1,84069,128046173.93020926
maharashtra,2018,1,16387034,21711613257.725674
dadra & nagar haveli & daman & diu,2018,1,148549,175658384.10921687
meghalaya,2018,1,49571,66250259.78990036
andaman & nicobar islands,2018,1,6658,14631761.22198579
haryana,2018,1,4480770,6793511514.660528
rajasthan,2018,1,7591690,8926293130.726837
ladakh,2018,1,6089,12532857.771114783
punjab,2018,1,1870433,2780758224.854389
assam,2018,1,1056881,1157804456.212469
jharkhand,2018,1,2178921,2374186389.9194
odisha,2018,1,5809821,4627632210.887628
bihar,2018,1,5824302,6045758172.017314
kerala,2018,1,1771380,2402674753.100502
karnataka,2018,1,12016899,19217895314.012802
chandigarh,2018,1,381895,613435420.8676233
telangana,2018,1,8522766,13308204118.542435
himachal pradesh,2018,1,481918,628737806.3723404
west bengal,2018,1,11710225,10625978552.140453
gujarat,2018,1,5948775,7577982255.034092
sikkim,2018,1,44078,64650938.94036834
nagaland,2018,1,42845,78005891.08612517
mizoram,2018,1,18561,45227219.975790836
chhattisgarh,2018,1,1891514,2149155557.2367463
jammu & kashmir,2018,1,941568,1005371239.2561305
goa,2018,1,160897,303856742.34308386
arunachal pradesh,2018,1,45497,92387336.00940911
delhi,2018,1,7122754,11211503806.91996
uttarakhand,2018,1,1246685,1508545358.5238864
puducherry,2018,3,190271,417658075.4942067
tamil nadu,2018,3,15774078,29330092241.18405
uttar pradesh,2018,3,26515356,37012114369.23937
madhya pradesh,2018,3,17126985,24149742204.67322
andhra pradesh,2018,3,25626061,35718044599.21416
tripura,2018,3,377703,453863388.04059243
lakshadweep,2018,3,1703,4339032.3119858485
manipur,2018,3,189258,383331244.79412293
maharashtra,2018,3,31538538,52260817733.24835
dadra & nagar haveli & daman & diu,2018,3,289575,447639595.67817545
meghalaya,2018,3,110290,209853661.53439403
andaman & nicobar islands,2018,3,16265,55557471.13431113
haryana,2018,3,8262024,16375139007.627964
rajasthan,2018,3,14257098,24040768671.212967
ladakh,2018,3,24864,84090977.14484604
punjab,2018,3,3462108,7065687043.821184
assam,2018,3,2351851,3811134989.9142647
jharkhand,2018,3,8122621,8661571417.704563
odisha,2018,3,30052155,23094515775.585766
bihar,2018,3,14367804,20135804378.90174
kerala,2018,3,3134348,5323025223.875498
karnataka,2018,3,25980261,48225091755.80772
chandigarh,2018,3,616936,1369354447.5343118
telangana,2018,3,19332703,32030093209.72354
himachal pradesh,2018,3,886754,1754041432.858025
west bengal,2018,3,53705416,41843934183.177635
gujarat,2018,3,11334149,17866404426.27552
sikkim,2018,3,108500,235080226.95331776
nagaland,2018,3,94371,241792742.9366532
mizoram,2018,3,39316,116600738.12539022
chhattisgarh,2018,3,3859604,6302307073.446348
jammu & kashmir,2018,3,2303961,3934700999.457677
goa,2018,3,339511,713166969.2382338
arunachal pradesh,2018,3,131146,331726406.7413912
delhi,2018,3,18547048,27375846860.618515
uttarakhand,2018,3,2229132,3726573039.8585143
puducherry,2020,4,2716003,4930526217.671207
tamil nadu,2020,4,111179701,206473197500.99268
uttar pradesh,2020,4,178167517,357428826778.2578
madhya pradesh,2020,4,153652541,284275139772.3589
andhra pradesh,2020,4,286118552,654841546033.3186
tripura,2020,4,1651890,3182130996.2213116
lakshadweep,2020,4,11650,30111317.917080387
manipur,2020,4,1627852,5602224558.458768
maharashtra,2020,4,407621004,622155530832.2585
dadra & nagar haveli & daman & diu,2020,4,1817791,2700511100.828503
meghalaya,2020,4,754008,1804242572.1989727
andaman & nicobar islands,2020,4,224531,627282656.3148524
haryana,2020,4,83171439,159998504366.53964
rajasthan,2020,4,190283435,386034779836.48376
ladakh,2020,4,332134,1111963470.5079594
punjab,2020,4,22997925,53775406479.553894
assam,2020,4,15423454,40226611319.263756
jharkhand,2020,4,39431633,72805174830.04245
odisha,2020,4,92324950,178302663014.6175
bihar,2020,4,96591673,238905613136.47186
kerala,2020,4,33288187,56755256647.011795
karnataka,2020,4,431536984,658036698565.0032
chandigarh,2020,4,2912716,6146762901.349345
telangana,2020,4,343643787,696350439226.9453
himachal pradesh,2020,4,7272328,13989053108.813015
west bengal,2020,4,100340645,199165491365.6468
gujarat,2020,4,77828547,148393060112.4366
sikkim,2020,4,735035,1919275805.122922
nagaland,2020,4,847825,2773084870.5627017
mizoram,2020,4,322607,986522115.6939572
chhattisgarh,2020,4,35529636,62214974283.94806
jammu & kashmir,2020,4,5754444,15380905803.378227
goa,2020,4,3801381,6899792747.579928
arunachal pradesh,2020,4,1209129,3570264021.8456187
delhi,2020,4,120540417,216265088224.5436
uttarakhand,2020,4,17613271,31792739329.110085
puducherry,2020,2,1033383,1960030980.4875922
tamil nadu,2020,2,51870110,95826508896.84135
uttar pradesh,2020,2,100851965,178744016130.31216
madhya pradesh,2020,2,76340573,147922015289.08447
andhra pradesh,2020,2,144917855,302583689746.5449
tripura,2020,2,1052520,1769175883.585958
lakshadweep,2020,2,7220,16942922.08594439
manipur,2020,2,1083068,3198936212.8055243
maharashtra,2020,2,184790761,296359517159.41614
dadra & nagar haveli & daman & diu,2020,2,973152,1302376453.8880572
meghalaya,2020,2,635395,1153735154.3383913
andaman & nicobar islands,2020,2,62962,169645001.41414702
haryana,2020,2,41781050,80711264923.94525
rajasthan,2020,2,101954656,193763273003.28284
ladakh,2020,2,155010,523792998.6520228
punjab,2020,2,14081294,30284654252.21334
assam,2020,2,10505199,19766300125.91926
jharkhand,2020,2,20141511,37486201975.923416
odisha,2020,2,50028576,91733036612.10583
bihar,2020,2,53386742,128806523628.85287
kerala,2020,2,16287967,25894078478.599953
karnataka,2020,2,213221712,321104877020.14185
chandigarh,2020,2,1528010,3847015729.690074
telangana,2020,2,152055143,321531839352.4224
himachal pradesh,2020,2,4695730,8036904762.544065
west bengal,2020,2,57676797,100099431877.35757
gujarat,2020,2,47420185,80387846359.49454
sikkim,2020,2,517731,1054618788.2612653
nagaland,2020,2,517566,1137674504.3478017
mizoram,2020,2,198462,457193433.4423174
chhattisgarh,2020,2,18820925,32268382206.900894
jammu & kashmir,2020,2,2635006,8265648939.258666
goa,2020,2,1482092,2183616430.016773
arunachal pradesh,2020,2,808774,1826716832.9849606
delhi,2020,2,66042018,107873438203.33162
uttarakhand,2020,2,9047770,16094187702.100985
puducherry,2020,1,1207921,2205277477.079584
tamil nadu,2020,1,66953473,116569686179.4346
uttar pradesh,2020,1,97239132,172416434960.69037
madhya pradesh,2020,1,79366746,126737281436.18526
andhra pradesh,2020,1,127677357,252737214289.0485
tripura,2020,1,924502,1588778806.3885012
lakshadweep,2020,1,5151,13502368.57450421
manipur,2020,1,818801,2598590380.8769474
maharashtra,2020,1,238944081,319995196718.0683
dadra & nagar haveli & daman & diu,2020,1,878579,1342763369.292519
meghalaya,2020,1,502283,1120134840.9078057
andaman & nicobar islands,2020,1,41298,161476312.2972747
haryana,2020,1,44036087,81976214558.24355
rajasthan,2020,1,102258812,190308238561.00217
ladakh,2020,1,116419,377639677.4457431
punjab,2020,1,15217784,31374185265.899654
assam,2020,1,8808860,20668428347.72898
jharkhand,2020,1,18282713,33611232153.269115
odisha,2020,1,53682307,91956798199.33679
bihar,2020,1,45081815,109256853527.24524
kerala,2020,1,15733522,26451084830.93425
karnataka,2020,1,271033890,353402054999.4004
chandigarh,2020,1,2262511,5126453070.016205
telangana,2020,1,199409525,371343780368.2118
himachal pradesh,2020,1,4144480,7419466751.122733
west bengal,2020,1,66250381,96653305190.9406
gujarat,2020,1,47326417,86995076621.90231
sikkim,2020,1,528118,1053476271.9444009
nagaland,2020,1,378051,894780028.7343724
mizoram,2020,1,153609,392077579.3496374
chhattisgarh,2020,1,19523991,32860597671.356686
jammu & kashmir,2020,1,921630,2937643176.534005
goa,2020,1,1881237,3410371231.9237647
arunachal pradesh,2020,1,567175,1381758681.3301477
delhi,2020,1,81747604,133616543642.58943
uttarakhand,2020,1,9131784,16158080258.987526
puducherry,2020,3,1730902,3598080229.434597
tamil nadu,2020,3,70277825,143841415498.65747
uttar pradesh,2020,3,127405259,248689955423.05322
madhya pradesh,2020,3,108579881,205701679984.53757
andhra pradesh,2020,3,204902935,467084130584.93884
tripura,2020,3,1317885,2341819516.215885
lakshadweep,2020,3,8589,21306833.308656827
manipur,2020,3,1420168,4615976120.870485
maharashtra,2020,3,268310924,440307079012.4761
dadra & nagar haveli & daman & diu,2020,3,1138312,1749789114.9993598
meghalaya,2020,3,597579,1237059001.3830369
andaman & nicobar islands,2020,3,117483,338019446.3303601
haryana,2020,3,57938179,109567950445.72871
rajasthan,2020,3,149088676,293678306162.4698
ladakh,2020,3,228222,835487500.058193
punjab,2020,3,17209573,40123092147.81354
assam,2020,3,12397711,29831391259.543846
jharkhand,2020,3,27068473,50622615820.01348
odisha,2020,3,66033829,122463943804.29193
bihar,2020,3,71503748,173328865111.8144
kerala,2020,3,21758680,40164150651.95372
karnataka,2020,3,300360531,470740515696.6945
chandigarh,2020,3,2158086,5089809353.36507
telangana,2020,3,236372126,505961144755.88367
himachal pradesh,2020,3,5489876,10516054014.086905
west bengal,2020,3,79954504,156813355855.1383
gujarat,2020,3,59290179,111921752484.70932
sikkim,2020,3,596435,1400926728.6603994
nagaland,2020,3,736319,2009649143.1547942
mizoram,2020,3,254703,707944175.5046022
chhattisgarh,2020,3,24148539,41526744807.53401
jammu & kashmir,2020,3,3465898,11977229760.872362
goa,2020,3,1915531,3368343580.9446573
arunachal pradesh,2020,3,962827,2609938565.55822
delhi,2020,3,96491861,175163962804.6604
uttarakhand,2020,3,11818935,22103510968.006454
puducherry,2021,4,6368810,10423651801.230518
tamil nadu,2021,4,259155976,443723952594.79407
uttar pradesh,2021,4,406157932,773890970072.1896
madhya pradesh,2021,4,404308084,656887492404.479
andhra pradesh,2021,4,522254003,1156264447083.9226
tripura,2021,4,2520693,5496929464.299448
lakshadweep,2021,4,15470,50998185.528381005
manipur,2021,4,4687439,12658472038.211857
maharashtra,2021,4,1010731502,1475358473128.29
dadra & nagar haveli & daman & diu,2021,4,4157085,5565839386.3306675
meghalaya,2021,4,1440193,3848765400.1861496
andaman & nicobar islands,2021,4,636123,1932610101.3236554
haryana,2021,4,169686975,309240599300.4638
rajasthan,2021,4,487621597,903934418544.2667
ladakh,2021,4,630187,2153535138.7802677
punjab,2021,4,52359360,110710126241.99957
assam,2021,4,46020361,104184967893.21591
jharkhand,2021,4,96009042,166017119003.7058
odisha,2021,4,233925366,385251049689.91846
bihar,2021,4,245126945,519371614068.7477
kerala,2021,4,81823741,123342136943.36395
karnataka,2021,4,931725438,1375471324349.8777
chandigarh,2021,4,7898903,14373583510.61845
telangana,2021,4,775989773,1463758189500.9146
himachal pradesh,2021,4,14666864,26136220500.625923
west bengal,2021,4,225029560,462218037262.097
gujarat,2021,4,182987325,342382580053.62726
sikkim,2021,4,1584345,4196783261.6358047
nagaland,2021,4,1631483,4939083784.136465
mizoram,2021,4,553329,1770665741.5230405
chhattisgarh,2021,4,84717494,136399110518.81381
jammu & kashmir,2021,4,16790628,38926237425.771454
goa,2021,4,11088759,18627257115.86965
arunachal pradesh,2021,4,2390598,6943510352.611343
delhi,2021,4,292683359,488695314062.3906
uttarakhand,2021,4,40361280,66148108159.422195
puducherry,2021,2,3751387,6498834696.543897
tamil nadu,2021,2,146158442,263487341026.54623
uttar pradesh,2021,2,241949131,482172489166.39343
madhya pradesh,2021,2,223314680,425500768035.631
andhra pradesh,2021,2,352767134,850737499108.2986
tripura,2021,2,1744429,3468154361.036266
lakshadweep,2021,2,11384,27383463.657951534
manipur,2021,2,3086275,7889827962.396657
maharashtra,2021,2,573616486,915115055623.7152
dadra & nagar haveli & daman & diu,2021,2,2125083,3157668461.418905
meghalaya,2021,2,909594,2193617254.8905916
andaman & nicobar islands,2021,2,341414,899147016.1122956
haryana,2021,2,105680856,200357354238.6818
rajasthan,2021,2,287477039,561702765169.2324
ladakh,2021,2,399716,1427259095.4703174
punjab,2021,2,32171248,69531058562.6159
assam,2021,2,25432905,59192473376.66449
jharkhand,2021,2,54002145,104432643311.45735
odisha,2021,2,131824337,245864117477.27853
bihar,2021,2,155603622,374580255186.58875
kerala,2021,2,47191033,74226806436.15614
karnataka,2021,2,530649046,837887151230.051
chandigarh,2021,2,4417547,8417673939.9361
telangana,2021,2,495867544,1027958332797.5902
himachal pradesh,2021,2,9483902,16495634539.809265
west bengal,2021,2,141897437,279434811058.5615
gujarat,2021,2,111841396,210162054552.1156
sikkim,2021,2,976714,2424899579.6753
nagaland,2021,2,1130791,3156293963.781851
mizoram,2021,2,394340,1122874473.3020918
chhattisgarh,2021,2,44689420,78728771259.22594
jammu & kashmir,2021,2,10027819,22813755428.591625
goa,2021,2,4710135,8012853587.075999
arunachal pradesh,2021,2,1568338,4456425616.994377
delhi,2021,2,170157264,281941097684.5416
uttarakhand,2021,2,24000432,40990817874.83847
puducherry,2021,1,3309432,5899309571.743641
tamil nadu,2021,1,136556674,248668143873.65317
uttar pradesh,2021,1,204499547,396287587577.5575
madhya pradesh,2021,1,201998498,343533954382.3015
andhra pradesh,2021,1,289747970,672444670176.5881
tripura,2021,1,1511423,3335341569.793424
lakshadweep,2021,1,9085,27042782.914081153
manipur,2021,1,2303535,7070287514.479244
maharashtra,2021,1,517860240,769887352153.2483
dadra & nagar haveli & daman & diu,2021,1,1925244,2965632911.1935043
meghalaya,2021,1,747646,2055515277.9898345
andaman & nicobar islands,2021,1,244752,783706567.3897561
haryana,2021,1,90252784,168938301082.4288
rajasthan,2021,1,252730919,491492581657.63354
ladakh,2021,1,275415,983419813.2468786
punjab,2021,1,26770835,58690887091.106735
assam,2021,1,19512060,51326464546.12217
jharkhand,2021,1,44621663,83749353123.13824
odisha,2021,1,111460358,213397736188.33783
bihar,2021,1,114932477,280973649701.2259
kerala,2021,1,42316342,69260970161.89497
karnataka,2021,1,523797492,754995357412.3948
chandigarh,2021,1,3970237,7596420859.545994
telangana,2021,1,412572110,799359264046.5657
himachal pradesh,2021,1,7614029,14120546909.487547
west bengal,2021,1,118254052,242937207475.5198
gujarat,2021,1,94774565,183700780713.44968
sikkim,2021,1,800189,2217667726.8407273
nagaland,2021,1,975897,3107450484.613187
mizoram,2021,1,329575,1101105586.9459367
chhattisgarh,2021,1,39436437,69409843261.55008
jammu & kashmir,2021,1,6997570,17138349893.151793
goa,2021,1,5331549,9757242879.021431
arunachal pradesh,2021,1,1177456,3813779079.0166435
delhi,2021,1,157359004,266928345043.49225
uttarakhand,2021,1,20608402,36288189399.89833
puducherry,2021,3,5121726,8729974431.01447
tamil nadu,2021,3,204357404,365207323053.92737
uttar pradesh,2021,3,306543384,557080841279.8989
madhya pradesh,2021,3,311443334,504412603851.499
andhra pradesh,2021,3,432032550,984218035564.122
tripura,2021,3,2081200,4364133768.181473
lakshadweep,2021,3,13370,38803163.698768154
manipur,2021,3,3941396,10406861028.904892
maharashtra,2021,3,792874060,1159257305167.4517
dadra & nagar haveli & daman & diu,2021,3,3129470,4305939102.791508
meghalaya,2021,3,1097731,2769000451.527979
andaman & nicobar islands,2021,3,449764,1310024395.8016036
haryana,2021,3,140459693,240827092259.20697
rajasthan,2021,3,400284753,710511328542.4896
ladakh,2021,3,590987,2213984743.93459
punjab,2021,3,42533489,85992560840.61221
assam,2021,3,33504441,75700499273.30748
jharkhand,2021,3,70795702,121891015118.8533
odisha,2021,3,177362674,303780718933.0267
bihar,2021,3,187671113,397062760956.3983
kerala,2021,3,63028266,101686161773.12894
karnataka,2021,3,753296539,1133234739157.5984
chandigarh,2021,3,6649378,11815883004.693302
telangana,2021,3,622886768,1178289126292.262
himachal pradesh,2021,3,12064167,21310262071.128155
west bengal,2021,3,181712988,362457066256.5059
gujarat,2021,3,149248407,272624626113.58765
sikkim,2021,3,1160594,2989336863.8083954
nagaland,2021,3,1356792,3987416848.005447
mizoram,2021,3,478529,1473748650.2119522
chhattisgarh,2021,3,64237938,104606108262.77591
jammu & kashmir,2021,3,13151041,31598443648.03224
goa,2021,3,6467763,10478425592.936367
arunachal pradesh,2021,3,1906967,5678124175.298816
delhi,2021,3,238760608,383858316548.281
uttarakhand,2021,3,31042284,50527496783.56469
puducherry,2024,4,16559677,19965392547.0
tamil nadu,2024,4,820423888,1087632875606.0
uttar pradesh,2024,4,2544890265,3214106522459.0
madhya pradesh,2024,4,1685401835,2003305068845.0
andhra pradesh,2024,4,2296445544,3452015568966.0
tripura,2024,4,15945159,22409905268.0
lakshadweep,2024,4,197777,247756681.0
manipur,2024,4,5750423,12061708556.0
maharashtra,2024,4,3634231839,4151028450887.0
dadra & nagar haveli & daman & diu,2024,4,28463700,23945221461.0
meghalaya,2024,4,14166380,19674927433.0
andaman & nicobar islands,2024,4,6063900,8920944773.0
haryana,2024,4,841394290,1031959359354.0
rajasthan,2024,4,2043469547,2793049371408.0
ladakh,2024,4,5711284,10854417654.0
punjab,2024,4,199509220,289125652032.0
assam,2024,4,332441531,382786405959.0
jharkhand,2024,4,586904686,704010501034.0
odisha,2024,4,1143097568,1305457593239.0
bihar,2024,4,1559667675,2098927476047.0
kerala,2024,4,233112441,273639970566.0
karnataka,2024,4,3455056424,4151819803822.0
chandigarh,2024,4,18528444,20501385889.0
telangana,2024,4,2822451603,3859050535418.0
himachal pradesh,2024,4,53798398,63736996234.0
west bengal,2024,4,1227135682,1810100029406.0
gujarat,2024,4,827374966,1076014501422.0
sikkim,2024,4,8916870,12641101398.0
nagaland,2024,4,7921552,13959098676.0
mizoram,2024,4,2702443,4461162922.0
chhattisgarh,2024,4,500655404,576828444625.0
jammu & kashmir,2024,4,126261217,160950980732.0
goa,2024,4,46131536,56562589543.0
arunachal pradesh,2024,4,26793457,35079886873.0
delhi,2024,4,910543082,1057060485903.0
uttarakhand,2024,4,171136132,194908790959.0
puducherry,2024,2,14564895,18242009736.0
tamil nadu,2024,2,705083686,985151149866.0
uttar pradesh,2024,2,2135538658,2704223360067.0
madhya pradesh,2024,2,1435472057,1779679946627.0
andhra pradesh,2024,2,1930122300,3181922420088.0
tripura,2024,2,12787547,18137431068.0
lakshadweep,2024,2,109085,146212841.0
manipur,2024,2,5063324,10898000793.0
maharashtra,2024,2,3063494802,3573189333587.0
dadra & nagar haveli & daman & diu,2024,2,23393115,20328992711.0
meghalaya,2024,2,11089661,16794614094.0
andaman & nicobar islands,2024,2,4653224,7295780330.0
haryana,2024,2,738553925,905444595600.0
rajasthan,2024,2,1818855106,2497094537924.0
ladakh,2024,2,5327359,10125723348.0
punjab,2024,2,171946137,244435036984.0
assam,2024,2,271327087,345308670210.0
jharkhand,2024,2,499685871,620115922491.0
odisha,2024,2,944027735,1164839284001.0
bihar,2024,2,1313888385,1886846564676.0
kerala,2024,2,194872467,242003822595.0
karnataka,2024,2,3042012848,3785034703438.0
chandigarh,2024,2,15940973,17556903812.0
telangana,2024,2,2417264357,3461542433312.0
himachal pradesh,2024,2,52583801,59849740702.0
west bengal,2024,2,980480707,1547343815564.0
gujarat,2024,2,690395153,910625046933.0
sikkim,2024,2,7188322,11296518155.0
nagaland,2024,2,5598700,11012913096.0
mizoram,2024,2,1977079,3798477640.0
chhattisgarh,2024,2,412047705,496313432419.0
