state,year,quater,transaction_count,transaction_amount
jammu & kashmir,2024,2,108179014,129061756911.0
goa,2024,2,37000806,47454830712.0
arunachal pradesh,2024,2,19478372,29706351630.0
delhi,2024,2,777540400,896917676180.0
uttarakhand,2024,2,158564982,180612915790.0
puducherry,2024,1,13446950,17386481977.0
tamil nadu,2024,1,640327197,913861111062.0
uttar pradesh,2024,1,1785296948,2477543106639.0
madhya pradesh,2024,1,1286156614,1625420229864.0
andhra pradesh,2024,1,1755428485,3012725669749.0
tripura,2024,1,11042639,17752189374.0
lakshadweep,2024,1,81176,130052381.0
manipur,2024,1,3845564,9242973323.0
maharashtra,2024,1,2835770481,3372898894856.0
dadra & nagar haveli & daman & diu,2024,1,21115009,19519196325.0
meghalaya,2024,1,8531262,15629304658.0
andaman & nicobar islands,2024,1,4184920,6859151835.0
haryana,2024,1,604293500,806788219232.0
rajasthan,2024,1,1599474007,2350500173790.0
ladakh,2024,1,2987101,6085390661.0
punjab,2024,1,142537179,223303420322.0
assam,2024,1,221525056,321183906030.0
jharkhand,2024,1,426759095,559720237073.0
odisha,2024,1,864178452,1156388722536.0
bihar,2024,1,1078734783,1637736864896.0
kerala,2024,1,181463966,227077974738.0
karnataka,2024,1,2796439155,3485248654506.0
chandigarh,2024,1,13155173,15842176181.0
telangana,2024,1,2179385307,3203769301073.0
himachal pradesh,2024,1,39520561,47884231339.0
west bengal,2024,1,836408587,1422025506833.0
gujarat,2024,1,606576671,871619464924.0
sikkim,2024,1,5820146,9455721523.0
nagaland,2024,1,4258924,10044915308.0
mizoram,2024,1,1627016,3630096730.0
chhattisgarh,2024,1,366176684,463009809901.0
jammu & kashmir,2024,1,75116355,93960928941.0
goa,2024,1,35013987,45351900260.0
arunachal pradesh,2024,1,16406414,26047044476.0
delhi,2024,1,650734058,832514031113.0
uttarakhand,2024,1,123234577,150276835263.0
puducherry,2024,3,16008711,19535004396.0
tamil nadu,2024,3,778536701,1050779594821.0
uttar pradesh,2024,3,2285955833,2717475205234.0
madhya pradesh,2024,3,1537738457,1761082466531.0
andhra pradesh,2024,3,2091371362,3226645607489.0
tripura,2024,3,14400581,19948846189.0
lakshadweep,2024,3,157478,192408087.0
manipur,2024,3,5700096,11671516831.0
maharashtra,2024,3,3287403995,3687268662139.0
dadra & nagar haveli & daman & diu,2024,3,25446270,21564631566.0
meghalaya,2024,3,12110124,16292956696.0
andaman & nicobar islands,2024,3,5279250,7663845009.0
haryana,2024,3,794940220,923206681798.0
rajasthan,2024,3,1935405035,2472257715905.0
ladakh,2024,3,6913885,12652871712.0
punjab,2024,3,187554720,256116156529.0
assam,2024,3,295345591,333558308550.0
jharkhand,2024,3,522575883,609909540592.0
odisha,2024,3,1023940349,1177233944634.0
bihar,2024,3,1352876223,1780280473339.0
kerala,2024,3,214695458,258302031309.0
karnataka,2024,3,3261134095,3907202566484.0
chandigarh,2024,3,17708385,19259257876.0
telangana,2024,3,2610137835,3551316976598.0
himachal pradesh,2024,3,49737549,56615941598.0
west bengal,2024,3,1084916445,1607643782237.0
gujarat,2024,3,757441250,963551388101.0
sikkim,2024,3,7713781,10569829072.0
nagaland,2024,3,6981635,12281315168.0
mizoram,2024,3,2360206,3923888231.0
chhattisgarh,2024,3,443640102,497360133758.0
jammu & kashmir,2024,3,119555288,144470345977.0
goa,2024,3,36762111,45913528012.0
arunachal pradesh,2024,3,24447142,31601956705.0
delhi,2024,3,844844523,958203383588.0
uttarakhand,2024,3,159278815,173414867549.0
puducherry,2022,4,7556127,11142204877.174492
tamil nadu,2022,4,436316636,675689667591.437
uttar pradesh,2022,4,836369071,1376378802069.4858
madhya pradesh,2022,4,898828268,1302999857548.291
andhra pradesh,2022,4,690017077,1424725083041.687
tripura,2022,4,5198190,10452971818.154081
lakshadweep,2022,4,17147,54813873.614936255
manipur,2022,4,6428670,15625956698.341496
maharashtra,2022,4,1688775272,2210470839617.1724
dadra & nagar haveli & daman & diu,2022,4,7189585,8059640746.081128
meghalaya,2022,4,3932448,8996541156.34871
andaman & nicobar islands,2022,4,1987535,3984674404.428784
haryana,2022,4,296648365,490490659880.10236
rajasthan,2022,4,865574848,1456956699398.6523
ladakh,2022,4,1083372,2894477572.6789374
punjab,2022,4,91835180,168107427177.94028
assam,2022,4,103981267,192653519187.54803
jharkhand,2022,4,175300092,277971737448.5812
odisha,2022,4,445714743,652217064523.9851
bihar,2022,4,517084649,936012149674.8281
kerala,2022,4,132960468,173559808599.71005
karnataka,2022,4,1378910371,1904516622907.6313
chandigarh,2022,4,17904840,27879754566.939415
telangana,2022,4,1819506832,2978252562916.1367
himachal pradesh,2022,4,28555136,41779343232.37363
west bengal,2022,4,405847597,787775633607.248
gujarat,2022,4,341156018,567918305336.5343
sikkim,2022,4,3058339,6458385389.419817
nagaland,2022,4,2476205,6969966384.314047
mizoram,2022,4,693774,2037911085.2630136
chhattisgarh,2022,4,177960446,252519180810.47455
jammu & kashmir,2022,4,27316158,44315295915.49408
goa,2022,4,17192674,24924986371.339146
arunachal pradesh,2022,4,4632709,9684909697.502243
delhi,2022,4,515203457,744915016018.5759
uttarakhand,2022,4,77983880,115496046831.35889
puducherry,2022,2,8643687,13778745255.768896
tamil nadu,2022,2,354506937,590134727678.3616
uttar pradesh,2022,2,595298776,1067515182419.9624
madhya pradesh,2022,2,544899829,867024737328.533
andhra pradesh,2022,2,671134030,1479853948202.9194
tripura,2022,2,3418664,6878271042.0352955
lakshadweep,2022,2,17569,55929601.98990567
manipur,2022,2,6105632,14922910635.149328
maharashtra,2022,2,1407533113,2006272382175.94
dadra & nagar haveli & daman & diu,2022,2,5759771,6995159780.810846
meghalaya,2022,2,2044649,5281491421.884784
andaman & nicobar islands,2022,2,1071217,2685920350.080267
haryana,2022,2,234699962,395234035249.5022
rajasthan,2022,2,661170150,1152833518600.3425
ladakh,2022,2,1118073,3543318177.9962664
punjab,2022,2,72272823,137345426369.22662
assam,2022,2,76334725,153111042086.78204
jharkhand,2022,2,132925275,225636227828.13763
odisha,2022,2,313451598,510035012340.00885
bihar,2022,2,360145029,754461454966.1152
kerala,2022,2,106365322,154696329549.125
karnataka,2022,2,1277448960,1867146114059.2139
chandigarh,2022,2,10772489,17283500158.371002
telangana,2022,2,1063382557,1951414544517.1062
himachal pradesh,2022,2,21291371,33709107958.242233
west bengal,2022,2,315742141,648575179584.2422
gujarat,2022,2,252052796,446798000976.83795
sikkim,2022,2,2322081,5611105670.307129
nagaland,2022,2,2031329,5740285349.020275
mizoram,2022,2,643977,2003186567.1089382
chhattisgarh,2022,2,116584048,181181677163.7799
jammu & kashmir,2022,2,23813747,46254290836.635826
goa,2022,2,14216054,22873037759.520226
arunachal pradesh,2022,2,3556925,9131665374.225872
delhi,2022,2,410634184,629855650458.2181
uttarakhand,2022,2,58166878,88313371025.334
puducherry,2022,1,7359176,12083474905.386654
tamil nadu,2022,1,294573150,512789201600.61597
uttar pradesh,2022,1,473953246,883123174117.039
madhya pradesh,2022,1,472703058,747665139599.6421
andhra pradesh,2022,1,582603911,1294320646554.8625
tripura,2022,1,2871190,6247329764.349836
lakshadweep,2022,1,16397,54939432.65393007
manipur,2022,1,5313679,14144501078.373814
maharashtra,2022,1,1169506438,1681399273981.1614
dadra & nagar haveli & daman & diu,2022,1,4802803,6237048367.262389
meghalaya,2022,1,1674750,4662338331.33188
andaman & nicobar islands,2022,1,794748,2129030202.0751667
haryana,2022,1,191988609,341304042652.78125
rajasthan,2022,1,564962220,1022050180980.1362
ladakh,2022,1,630015,2025040918.8422096
punjab,2022,1,57758302,118389978105.96233
assam,2022,1,58889886,132280437892.70251
jharkhand,2022,1,110911210,194700207087.16907
odisha,2022,1,263633499,451227311779.7898
bihar,2022,1,284390434,611411695731.1454
kerala,2022,1,95280965,139988942464.69464
karnataka,2022,1,1057855407,1566649488305.8838
chandigarh,2022,1,8600491,15174991549.840002
telangana,2022,1,886453385,1670638169828.999
himachal pradesh,2022,1,16088180,26518447439.932728
west bengal,2022,1,260505092,551426663209.5653
gujarat,2022,1,210547146,392548092253.5477
sikkim,2022,1,1744302,4367431275.863418
nagaland,2022,1,1925952,5544951708.895753
mizoram,2022,1,604917,1945158963.6112473
chhattisgarh,2022,1,97413292,157847045454.8349
jammu & kashmir,2022,1,16245311,33147863626.158833
goa,2022,1,12214098,19816445402.846123
arunachal pradesh,2022,1,2804068,7828091628.0873575
delhi,2022,1,330999861,536964920836.2892
uttarakhand,2022,1,44560772,70978782500.07388
puducherry,2022,3,7042727,10854317711.140945
tamil nadu,2022,3,393496175,631879220373.2378
uttar pradesh,2022,3,703589072,1121370050898.7214
madhya pradesh,2022,3,731259559,1032908494249.5833
andhra pradesh,2022,3,642855035,1385077409712.0752
tripura,2022,3,4256579,8648352804.91115
lakshadweep,2022,3,15241,47580009.61750026
manipur,2022,3,6352742,15381430267.299776
maharashtra,2022,3,1486389417,1947579187374.532
dadra & nagar haveli & daman & diu,2022,3,6465621,7520647359.499438
meghalaya,2022,3,4359165,9603300797.121542
andaman & nicobar islands,2022,3,1584379,3310631772.137388
haryana,2022,3,269361810,428054494578.0213
rajasthan,2022,3,767541360,1238489256318.2175
ladakh,2022,3,1190858,3605199350.373912
punjab,2022,3,84177897,149319443006.3546
assam,2022,3,86113811,161489079054.89807
jharkhand,2022,3,146815332,229412884063.95636
odisha,2022,3,386687326,564545557340.5428
bihar,2022,3,437367385,791446486557.8687
kerala,2022,3,119362904,162260419315.42975
karnataka,2022,3,1189761328,1665918232610.94
chandigarh,2022,3,13478173,20559757737.40586
telangana,2022,3,1628165401,2706325865752.0645
himachal pradesh,2022,3,25164868,37380782688.54074
west bengal,2022,3,356792388,704749898612.1294
gujarat,2022,3,303239732,497437502209.44305
sikkim,2022,3,2396758,5162880543.891459
nagaland,2022,3,1894113,5364400495.050829
mizoram,2022,3,659038,1946265612.067956
chhattisgarh,2022,3,158252587,220161558081.9853
jammu & kashmir,2022,3,22534394,40963554502.24847
goa,2022,3,13188687,19574265275.70635
arunachal pradesh,2022,3,3939418,9025110785.048618
delhi,2022,3,475592161,677612647116.1133
uttarakhand,2022,3,63996519,92641259938.36333
puducherry,2023,4,12986163,17024510550.0
tamil nadu,2023,4,593481381,872870665005.0
uttar pradesh,2023,4,1566705382,2257441161652.0
madhya pradesh,2023,4,1102294613,1426502880687.0
andhra pradesh,2023,4,1596987426,2802514977823.0
tripura,2023,4,10140910,16819896794.0
lakshadweep,2023,4,63479,119831383.0
manipur,2023,4,2113200,6800325298.0
maharashtra,2023,4,2572162725,3098014934958.0
dadra & nagar haveli & daman & diu,2023,4,18302373,17558059967.0
meghalaya,2023,4,7268384,13873058692.0
andaman & nicobar islands,2023,4,3695783,6269552499.0
haryana,2023,4,554748233,782270484600.0
rajasthan,2023,4,1349472154,2066379607801.0
ladakh,2023,4,3150218,6942986945.0
punjab,2023,4,142228995,231139462165.0
assam,2023,4,193752157,285603636931.0
jharkhand,2023,4,374538362,498720104925.0
odisha,2023,4,732137476,978791865637.0
bihar,2023,4,924427274,1434735808415.0
kerala,2023,4,179843093,224985321465.0
karnataka,2023,4,2564434164,3241376424383.0
chandigarh,2023,4,13280078,16281223001.0
telangana,2023,4,2020822178,3116417474765.0
himachal pradesh,2023,4,38651839,48280246564.0
west bengal,2023,4,737953238,1249394976078.0
gujarat,2023,4,534115578,795087199074.0
sikkim,2023,4,4857324,8590608471.0
nagaland,2023,4,3797179,9674575422.0
mizoram,2023,4,1500728,3540840283.0
chhattisgarh,2023,4,321876332,403985034545.0
jammu & kashmir,2023,4,69167132,93070141760.0
goa,2023,4,33460978,44287671557.0
arunachal pradesh,2023,4,14617742,24128799794.0
delhi,2023,4,598150746,799649719349.0
uttarakhand,2023,4,118071440,148083447262.0
puducherry,2023,2,11130326,15386733257.0
tamil nadu,2023,2,498429638,776362551015.0
uttar pradesh,2023,2,1211410582,1836622076526.0
madhya pradesh,2023,2,848037060,1202440949508.0
andhra pradesh,2023,2,1305656964,2506039086916.0
tripura,2023,2,7929543,13919130082.0
lakshadweep,2023,2,34918,97987438.0
manipur,2023,2,1606271,4463876653.0
maharashtra,2023,2,2063717848,2606004606468.0
dadra & nagar haveli & daman & diu,2023,2,13357115,13750538188.0
meghalaya,2023,2,5077212,11084506486.0
andaman & nicobar islands,2023,2,2707775,4990344236.0
haryana,2023,2,457536190,661742128636.0
rajasthan,2023,2,1073459338,1698455586300.0
ladakh,2023,2,2943815,7191103886.0
punjab,2023,2,117290289,194181575454.0
assam,2023,2,138290953,235110788783.0
jharkhand,2023,2,289233893,422214727508.0
odisha,2023,2,544597829,799332054104.0
bihar,2023,2,683933094,1226046745390.0
kerala,2023,2,156170617,207796670985.0
karnataka,2023,2,2067867526,2777599098830.0
chandigarh,2023,2,11553687,14414408750.0
telangana,2023,2,1665430971,2698149935008.0
himachal pradesh,2023,2,35061595,46875063718.0
west bengal,2023,2,545317686,1009315106972.0
gujarat,2023,2,416922553,645407208525.0
sikkim,2023,2,4412967,8580350436.0
nagaland,2023,2,2922001,8021399310.0
mizoram,2023,2,1208930,3191806576.0
chhattisgarh,2023,2,249931636,333156846754.0
jammu & kashmir,2023,2,54588299,76530005380.0
goa,2023,2,26530590,38412206943.0
arunachal pradesh,2023,2,10360488,19805698664.0
delhi,2023,2,482138998,661728515657.0
uttarakhand,2023,2,102758214,134072872398.0
puducherry,2023,1,10144295,14222388506.0
tamil nadu,2023,1,461212387,715583673518.0
uttar pradesh,2023,1,1002557722,1636936265372.0
madhya pradesh,2023,1,734566970,1062026599901.0
andhra pradesh,2023,1,1145532464,2249051316530.0
tripura,2023,1,7118687,13288282891.0
lakshadweep,2023,1,29520,85321961.0
manipur,2023,1,3258383,8585564092.0
maharashtra,2023,1,1848268499,2362285906059.0
dadra & nagar haveli & daman & diu,2023,1,11803985,12614091200.0
meghalaya,2023,1,4164705,10084840615.0
andaman & nicobar islands,2023,1,2276392,4461528587.0
haryana,2023,1,381318464,591150623736.0
rajasthan,2023,1,921096686,1554913375850.0
ladakh,2023,1,1567246,3849021298.0
punjab,2023,1,96910821,175508676860.0
assam,2023,1,113760638,212354167087.0
jharkhand,2023,1,240458103,367371336021.0
odisha,2023,1,482896088,753968977663.0
bihar,2023,1,547831195,1039276959944.0
kerala,2023,1,147621565,193637089677.0
karnataka,2023,1,1844697189,2470227226317.0
chandigarh,2023,1,9815605,12824894394.0
telangana,2023,1,1440331458,2372581734284.0
himachal pradesh,2023,1,27301726,37740947734.0
west bengal,2023,1,459278344,896883182555.0
gujarat,2023,1,362511326,597826188806.0
sikkim,2023,1,3396128,6762568022.0
nagaland,2023,1,2685570,7814397854.0
mizoram,2023,1,1052595,2955622739.0
chhattisgarh,2023,1,214748957,301088936459.0
jammu & kashmir,2023,1,38927244,55921747581.0
goa,2023,1,24195070,35096965775.0
arunachal pradesh,2023,1,8042825,16394578454.0
delhi,2023,1,409753103,611403109580.0
uttarakhand,2023,1,79385675,107179907585.0
puducherry,2023,3,12379641,16444491839.0
tamil nadu,2023,3,556085008,833105264698.0
uttar pradesh,2023,3,1354622466,1861748362006.0
madhya pradesh,2023,3,978812593,1237821998249.0
andhra pradesh,2023,3,1475164403,2653414098098.0
tripura,2023,3,9108762,15249223330.0
lakshadweep,2023,3,43757,94527061.0
manipur,2023,3,865478,3608286601.0
maharashtra,2023,3,2290678587,2752172184241.0
dadra & nagar haveli & daman & diu,2023,3,15370328,15096066463.0
meghalaya,2023,3,6029842,11406633080.0
andaman & nicobar islands,2023,3,3098376,5211596791.0
haryana,2023,3,501519478,677491980740.0
rajasthan,2023,3,1237232167,1800225443616.0
ladakh,2023,3,3621366,8250572243.0
punjab,2023,3,132161181,205225582737.0
assam,2023,3,167575351,244058014402.0
jharkhand,2023,3,318237426,418384424020.0
odisha,2023,3,622397603,840298338124.0
bihar,2023,3,734238751,1148153363366.0
kerala,2023,3,170658651,220332613329.0
karnataka,2023,3,2369262302,2985880895587.0
chandigarh,2023,3,13052165,15426783311.0
telangana,2023,3,1875045924,2870202901073.0
himachal pradesh,2023,3,33337054,41854571637.0
west bengal,2023,3,632093191,1071548606382.0
gujarat,2023,3,479303590,707737036450.0
sikkim,2023,3,4804937,8107237421.0
nagaland,2023,3,3422331,8616299673.0
mizoram,2023,3,1310413,3106130235.0
chhattisgarh,2023,3,283492657,350379679526.0
jammu & kashmir,2023,3,63903579,86016148426.0
goa,2023,3,26999728,37375179974.0
arunachal pradesh,2023,3,12802433,21127391086.0
delhi,2023,3,546706983,708199251438.0
uttarakhand,2023,3,106284687,128762398121.0
puducherry,2019,4,1012655,1932028317.878899
tamil nadu,2019,4,56596411,103190865512.53719
uttar pradesh,2019,4,86905005,145538926507.3059
madhya pradesh,2019,4,68131989,104687926790.86589
andhra pradesh,2019,4,107218103,200948315488.80518
tripura,2019,4,801824,1215400160.2581887
lakshadweep,2019,4,3765,11269913.40492385
manipur,2019,4,449344,1200897682.088641
maharashtra,2019,4,201260620,272994428799.5649
dadra & nagar haveli & daman & diu,2019,4,768971,1226641262.0110402
meghalaya,2019,4,365981,742436471.7902198
andaman & nicobar islands,2019,4,35159,136838530.5173779
haryana,2019,4,37825985,69359719869.10008
rajasthan,2019,4,85074242,159452410049.68317
ladakh,2019,4,84706,324689360.02811134
punjab,2019,4,13698625,29989802246.19331
assam,2019,4,6760510,15281983895.512564
jharkhand,2019,4,18248618,28147748376.677704
odisha,2019,4,64995633,79769373632.04843
bihar,2019,4,43530314,93313426577.80905
kerala,2019,4,12498637,21151326637.805134
karnataka,2019,4,237796252,295047143447.23846
chandigarh,2019,4,1850915,4152513817.939354
telangana,2019,4,163572258,280746765547.7425
himachal pradesh,2019,4,3516646,7271163537.248161
west bengal,2019,4,96805838,88203610254.64601
gujarat,2019,4,42547632,76690662054.91542
sikkim,2019,4,767070,1176509601.6562185
nagaland,2019,4,317170,834537138.3487777
mizoram,2019,4,125239,368689350.6344881
chhattisgarh,2019,4,16305758,27143788737.21397
jammu & kashmir,2019,4,489928,1929695997.8225975
goa,2019,4,1515272,2923460348.4994645
arunachal pradesh,2019,4,459475,1190573179.5272837
delhi,2019,4,80744997,129024467424.89062
uttarakhand,2019,4,7362116,12573706305.150612
puducherry,2019,2,580077,1211446910.127807
tamil nadu,2019,2,32171737,64207676025.75553
uttar pradesh,2019,2,58883500,98917519370.67831
madhya pradesh,2019,2,40846013,68334566380.56182
andhra pradesh,2019,2,56409015,113634518758.22931
tripura,2019,2,532558,841821482.8473747
lakshadweep,2019,2,2926,9242524.13698889
manipur,2019,2,257425,722789942.1495004
maharashtra,2019,2,101149853,153294470088.05945
dadra & nagar haveli & daman & diu,2019,2,489656,824441276.56507
meghalaya,2019,2,232286,492931289.1072781
andaman & nicobar islands,2019,2,33689,120254709.6756632
haryana,2019,2,22741816,42501539813.21669
rajasthan,2019,2,50009286,89107313172.66756
ladakh,2019,2,68772,259255506.9974248
punjab,2019,2,8509830,18614793394.772213
assam,2019,2,5454929,10954969189.126175
jharkhand,2019,2,10128211,18622701305.54623
odisha,2019,2,29512024,44754854871.67608
bihar,2019,2,29960479,63132438283.54397
kerala,2019,2,7283826,13031371561.185568
karnataka,2019,2,115401604,163702024226.0841
chandigarh,2019,2,1252470,2693116098.9444556
telangana,2019,2,89610379,155676443182.43457
himachal pradesh,2019,2,2502306,4875883973.61058
west bengal,2019,2,47023535,57105691119.11844
gujarat,2019,2,28981842,49320615219.26732
sikkim,2019,2,388244,738894243.4359412
nagaland,2019,2,188753,520066682.1585048
mizoram,2019,2,75671,248016708.13501447
chhattisgarh,2019,2,9389945,17002355688.82225
jammu & kashmir,2019,2,2296355,6100142201.563448
goa,2019,2,768441,1591867103.3876143
arunachal pradesh,2019,2,258656,752655874.3550282
delhi,2019,2,57171512,81706816063.62862
uttarakhand,2019,2,4813275,8588532850.9184885
puducherry,2019,1,501092,906473024.3065231
tamil nadu,2019,1,32275045,56204036816.128555
uttar pradesh,2019,1,57324504,76524180134.0167
madhya pradesh,2019,1,37301049,48070279522.04201
andhra pradesh,2019,1,57264522,83760595917.0792
tripura,2019,1,580926,756894941.6158216
lakshadweep,2019,1,2481,8786130.479338994
manipur,2019,1,265409,659898060.4240801
maharashtra,2019,1,75079069,111420690920.33997
dadra & nagar haveli & daman & diu,2019,1,661814,843369776.0499002
meghalaya,2019,1,208741,399037162.15343595
andaman & nicobar islands,2019,1,30486,102299740.67348987
haryana,2019,1,22135775,34051655721.631077
rajasthan,2019,1,43956040,61141158575.55252
ladakh,2019,1,46145,152859920.9491272
punjab,2019,1,7172137,13574490001.853222
assam,2019,1,4533005,8002099536.451059
jharkhand,2019,1,9387708,13627236449.278034
odisha,2019,1,34031942,35427127930.698456
bihar,2019,1,26356234,41502827514.52612
kerala,2019,1,6469039,10235031134.849785
karnataka,2019,1,86587609,117976382145.74966
chandigarh,2019,1,1274476,2396032050.444029
telangana,2019,1,65290702,95523262035.66321
himachal pradesh,2019,1,2168718,3381481442.991081
west bengal,2019,1,47626388,50164672623.87851
gujarat,2019,1,24991451,35856080308.47724
sikkim,2019,1,240287,457993634.3840939
nagaland,2019,1,168579,441941712.41233104
mizoram,2019,1,70306,218160895.39740258
chhattisgarh,2019,1,7887669,12544556385.328796
jammu & kashmir,2019,1,3584987,5951835476.521047
goa,2019,1,738812,1475323397.276577
arunachal pradesh,2019,1,226506,609950106.3139492
delhi,2019,1,47007327,58469131789.49733
uttarakhand,2019,1,5546001,7183529175.274033
puducherry,2019,3,716826,1460708357.4554102
tamil nadu,2019,3,41410183,78959604643.63503
uttar pradesh,2019,3,68623959,111268137475.02843
madhya pradesh,2019,3,53610411,77676321491.22867
andhra pradesh,2019,3,76288614,139447944254.78943
tripura,2019,3,711717,1017377422.817224
lakshadweep,2019,3,3104,9651761.463768471
manipur,2019,3,345008,863552002.562933
maharashtra,2019,3,148735581,199617506744.94272
dadra & nagar haveli & daman & diu,2019,3,638751,961471473.8483732
meghalaya,2019,3,306550,612218602.153532
andaman & nicobar islands,2019,3,33770,114071776.08729392
haryana,2019,3,30343531,52489119199.44011
rajasthan,2019,3,67303617,112468290031.92343
ladakh,2019,3,92396,331129527.19382226
punjab,2019,3,10706812,22905815605.843315
assam,2019,3,5942571,12950443620.426579
jharkhand,2019,3,14220647,21465973993.35938
odisha,2019,3,41422272,57304577359.217094
bihar,2019,3,32139900,67692783254.273834
kerala,2019,3,9286096,16429809722.064445
karnataka,2019,3,170733735,214536720438.18292
chandigarh,2019,3,1506543,3269682087.6608405
telangana,2019,3,121495376,201930021130.42365
himachal pradesh,2019,3,2735180,5572018781.123304
west bengal,2019,3,66444829,70540532616.82985
gujarat,2019,3,38228649,59462694964.26753
sikkim,2019,3,552436,884716448.4404289
nagaland,2019,3,261878,650956471.7134112
mizoram,2019,3,98094,278793899.9513421
chhattisgarh,2019,3,12243111,19803259167.45372
jammu & kashmir,2019,3,1116526,3744230491.7824554
goa,2019,3,1092416,2000367191.496843
arunachal pradesh,2019,3,370234,912645034.7958709
delhi,2019,3,69537876,103196812046.45712
uttarakhand,2019,3,5710476,9729032070.017406
